Names	Species	Order	Family	Common Name	Origin	Status	GeoArea	BodyN	Brain	DiurnalityN	Arboreality	Shelter.safety	Diet	Group.living	Parental.care	Mating.system	Dimorphism	Litter.size	Weaning.age	HR	Population.density	FMR.Riek	Torpor	Play	"Status (Endangered, Vulnerable, Common, Abundant, Rare (or sparse), Declining, Limited)"	BodyM	BodyF	ased
Acrobates_pygmaeus	Acrobates pygmaeus	Diprotodontia	Acrobatidae	Feathertail glider	1	1	E	14.5	0.35	1	1	1	3	2	2	2		2.8	97.5	2.1	9	34.9	1	1	C			0.024137931
Aepyprymnus_rufescens	Aepyprymnus rufescens	Diprotodontia	Potoroidae	Rufous bettong	1	1	E	2750	12.3	1	2	2	2	2	1	1	0.964285714	1	162.5	110	0.96	1378.6	0	3	C	2700	2800	0.004472727
Antechinomys_laniger	Antechinomys laniger	Dasyuromorphia	Dasyuridae	Kultarr	1	2	I	25	0.47	1	2	1	4	1	1	1	1.5	6	95.5				1	1	R	30	20	0.0188
Antechinus_agilis	Antechinus agilis	Dasyuromorphia	Dasyuridae	Agile antechinus	1	1	S	24	0.56	3	1	1	4	2	1	1	1.666666667	9.3	95	1	8.13				A	30	18	0.023333333
Antechinus_flavipes	Antechinus flavipes	Dasyuromorphia	Dasyuridae	Yellow footed Antechinus	1	1	C	45	0.64	3	2	2	4	2	1	1	1.647058824	8.4	90	0.6	1.6	105.7	1		A	56	34	0.014222222
Antechinus_minimus	Antechinus minimus	Dasyuromorphia	Dasyuridae	Swamp antechinus	1	2	T	70	0.74	3	2	2	4	2	1	1	1.641509434	7.4	105	2.7	6.9	135.6			R	87	53	0.010571429
Antechinus_stuartii	Antechinus stuartii	Dasyuromorphia	Dasyuridae	Brown antechinus	1	1	E	27.5	0.76	3	2	2	4	2	1	1	1.75	7.2	87.5	0.9	2.87	91	1	2	A	35	20	0.027636364
Antechinus_swainsonii	Antechinus swainsonii	Dasyuromorphia	Dasyuridae	Dusky antechinus	1	1	N	53	1.09	1	2	1	4	1	1	1	1.585365854	7.6	88		7.09	147.1	1		A	65	41	0.020566038
Bettongia_gaimardi	Bettongia gaimardi	Diprotodontia	Potoroidae	Tasmanian bettong	1	1	T	1660	11.7	1	2	1	2	1	1	1		1	155	135	0.19	813.6	0		C			0.007048193
Bettongia_lesueur	Bettongia lesueur	Diprotodontia	Potoroidae	Burrowing bettong	1	2	W	1300	10.5	1	2	1	2	2	1	2		1	165		0.17	476.7			L			0.008076923
Bettongia_penicillata	Bettongia penicillata	Diprotodontia	Potoroidae	Woylie	1	2	N	1181.25	9.56	1	2	2	2	1	1	1	1.10467706	1	158	65.4	0.26	600.2	0	3	E	1240	1122.5	0.008093122
Bettongia_tropica	Bettongia tropica	Diprotodontia	Potoroidae	Northern bettong	1	2	N	1200	8.92	1	2	2	2	1	1	1	1	1	176	70	0.2				E	1200	1200	0.007433333
Burramys_parvus	Burramys parvus	Diprotodontia	Burramyidae	Mountain pygmy possum	1	2	N	41.5	1	1	2	2	2	1	1	2	0.976190476	3.6	67	7.7	0.65	70	1	1	L	41	42	0.024096386
Caenolestes_fuliginosus	Caenolestes fuliginosus	Paucituberculata	Caenolestidae	Dusky caenolestid	3	3	Am	20.34	0.77	3	2	2	4					4							X			0.037856441
Caluromys_derbianus	Caluromys derbianus	Didelphimorphia	Didelphidae	Derbys woolly opossum	3	1	Am	340	3.8	1	1	1	2	1	1	1		3.1	120	0.1	13.4		0		C			0.011176471
Caluromys_lanatus	Caluromys lanatus	Didelphimorphia	Didelphidae	Western woolly opossum	3	1	Am	356	3.53	1	1	2	3	1	1	1		2.5	220	0.25	0.13				C			0.00991573
Caluromys_philander	Caluromys philander	Didelphimorphia	Didelphidae	Bare tailed woolly opossum	3	1	Am	170	2.7	1	1	1	2	1	1	1		4.3	120	3	0.97				C			0.015882353
Caluromysiops_irrupta	Caluromysiops irrupta	Didelphimorphia	Didelphidae	Black-shouldered opossum	3	2	Am	397.03	4	1	1		3	1	1	1		2							L			0.010074805
Cercartetus_caudatus	Cercartetus caudatus	Diprotodontia	Burramyidae	Long tailed pygmy possum	2	2	NG	30	0.71	1	1	1	3	2	1			2.9	77		0.5	54.2	1		L			0.023666667
Cercartetus_nanus	Cercartetus nanus	Diprotodontia	Burramyidae	Eastern pygmy possum	1	1	N	24	0.43	1	1	1	3	2	1	1		3.9	65	0.75	11.56	45.7	1	1	C			0.017916667
Chaeropus_ecaudatus	Chaeropus ecaudatus	Paramelemorphia	Chaeropodidae	Pig footed bandicoot	1	3	I	200	2.4	2	2	2	2	1				2							X			0.012
Chironectes_minimus	Chironectes minimus	Didelphimorphia	Didelphidae	Water opossum	3	1	Am	686.67	4.7	1	2	2	4	1	1	1		4	55	180	1.34		0		C			0.006844627
Cryptonanus_chacoensis	Cryptonanus chacoensis	Didelphimorphia	Didelphidae	Chacoan mouse opossums	3	1	Am	13.5	0.49	1	2	3	3		1			7							C			0.036296296
Cryptonanus_unduaviensis	Cryptonanus unduaviensis	Didelphimorphia	Didelphidae	Unduavi gracile opossum	3	2	Am	35	0.8	1	1							12							L			0.022857143
Dactylopsila_palpator	Dactylopsila palpator	Diprotodontia	Petauridae	Long-fingered Triok	2	1	NG	370	6.91	1	1		4					1										0.018675676
Dactylopsila_trivirgata	Dactylopsila trivirgata	Diprotodontia	Petauridae	Striped possum	2	2	NG	423	5.83	1	1	1	4	1	1	2	1.075862069	1.75	200	150	0.04	394		1	L	468	435	0.013782506
Dasycercus_cristicauda	Dasycercus cristicauda	Dasyuromorphia	Dasyuridae	Crest tailed mulgara	1	2	I	120	1.24	3	2	1	4	1	1	1	1.594594595	7	121	14.4		199.1	1	3	E	147.5	92.5	0.010333333
Dasykaluta_rosamondae	Dasykaluta rosamondae	Dasyuromorphia	Dasyuridae	Kaluta	1	1	W	27.5	0.54	3	2	2	4	1	1	1	1.2	6.3	113			86.6	1		C	30	25	0.019636364
Dasyuroides_byrnei	Dasyuroides byrnei	Dasyuromorphia	Dasyuridae	Kowari	1	2	I	117.5	1.5	3	2	1	4	1	1	1	1.238095238	4.3	118	1400		197.2	1	3	V	130	105	0.012765957
Dasyurus_albopunctatus	Dasyurus albopunctatus	Dasyuromorphia	Dasyuridae	New Guinean quoll	2	1	NG	627	3.79	3		2	4															0.006044657
Dasyurus_geoffroii	Dasyurus geoffroii	Dasyuromorphia	Dasyuridae	Western quoll	1	2	A	1100	5.17	3	2	2	4	1	1	2	1.471910112	6	157.5	400	0.02	950.9	1		V	1310	890	0.0047
Dasyurus_hallucatus	Dasyurus hallucatus	Dasyuromorphia	Dasyuridae	Northern quoll	1	2	N	597.5	3.38	1	2	2	4	1	1	1	1.569892473	6.6	142.5	100	0.21	652.6	0	3	E	730	465	0.005656904
Dasyurus_maculatus	Dasyurus maculatus	Dasyuromorphia	Dasyuridae	Spotted tailed quoll	1	2	E	2500	9.41	3	2	2	4	1	1	2	1.5	5.3	197	1744	0.04	1361.5	0	3	E	3000	2000	0.003764
Dasyurus_viverrinus	Dasyurus viverrinus	Dasyuromorphia	Dasyuridae	Eastern quoll	1	2	T	1100	5.33	3	2	2	4	1	1	1	1.444444444	6	159	44	0.19	935.7	1	3	D	1300	900	0.004845455
Dendrolagus_bennettianus	Dendrolagus bennettianus	Diprotodontia	Macropodidae	Bennett's tree kangaroo	1	2	N	10525	26	3	1	2	1	1	1	2	1.49112426	1	720	29	0.28	2074.5	0		L	12600	8450	0.002470309
Dendrolagus_dorianus	Dendrolagus dorianusx	Diprotodontia	Macropodidae	Doria's tree-kangaroo	2	2	NG	10500	32.3	3	2	1	2	2	2	2		1	720					3				0.00307619
Dendrolagus_goodfellowi	Dendrolagus goodfellowix	Diprotodontia	Macropodidae	Goodfellow's tree-kangaroo	2	2	NG	8050	28.4	3	1		2	2		2		1	390				0					0.00352795
Dendrolagus_inustus	Dendrolagus inustusx	Diprotodontia	Macropodidae	Grizzled tree-kangaroo	2	2	NG	11500	30.1	3	1	2	2					1	279									0.002617391
Dendrolagus_lumholtzi	Dendrolagus lumholtzi	Diprotodontia	Macropodidae	Lumholtzs tree kangaroo	2	2	NG	7025	26.2	3	1	2	2	2	1	2	1.186770428	1	550	2.1	1.28	1636.8	0	3	R	7625	6425	0.003729537
Dendrolagus_matschiei	Dendrolagus matschiei	Diprotodontia	Macropodidae	Matschie's tree-kangaroo	2	2	NG	8800	27.5	3	1		2	2	2	2		1	290	25			0					0.003125
Dendrolagus_scottae	Dendrolagus scottae	Diprotodontia	Macropodidae	Tenkile	2	2	NG	9500	29.2	3	1		1	2	2	2		1	900	0.125			0					0.003073684
Dendrolagus_spadix	Dendrolagus spadix	Diprotodontia	Macropodidae	Lowlands tree-kangaroo	2	2	NG	9100	28.5	3	1		2					1										0.003131868
Didelphis_albiventris	Didelphis albiventris	Didelphimorphia	Didelphidae	White-eared opossum	3	1	Am	2316.4	6.87	3	1	2	4	1	1	1		5	117	0.57	1.1				C			0.002965809
Didelphis_marsupialis	Didelphis marsupialis	Didelphimorphia	Didelphidae	Common possum	3	1	Am	1200	7.3	1	1	1	2	1	1	1		6	94	122	2		0		A			0.006083333
Didelphis_virginiana	Didelphis virginiana	Didelphimorphia	Didelphidae	Virginia opossum	3	1	Am	2000	7.55	1	1	1	2	1	1	1		7.7	94	318	0.27		0	1	A			0.003775
Distoechurus_pennatus	Distoechurus pennatus	Diprotodontia	Acrobatidae	Feather-tailed possum	2		NG	51.5	0.94	1	1		3	2	1	2		1										0.018252427
Dorcopsis_veterum	Dorcopsis veterum	Diprotodontia	Macropodidae	Brown dorcopsis	2	1	NG	7500	16.7	3	2		2	2	1	1		1	270									0.002226667
Dorcopsulus_vanheurni	Dorcopsulus vanheurni	Diprotodontia	Macropodidae	Small dorcopsis	2	2	NG	1696.5	11.8	1	2		1					1.5		1.5								0.006955497
Dromiciops_gliroides	Dromiciops gliroides	Microbiotheria	Microbiotheriidae	Monito del monte	3	2	Am	20	0.81	1	1	1	3	2	1	1		2.5	180	1.6	23		1		V			0.0405
Echymipera_clara	Echymipera clara	Paramelemorphia	Peramelidae	Clara's echymipera	2	1	NG	1236.5	4.48	1	2																	0.00362313
Echymipera_kalubu	Echymipera kalubu	Paramelemorphia	Peramelidae	Common echymipera	2		NG	650	3.67	1			3					2.1	12	0.5								0.005646154
Echymipera_rufescens	Echymipera rufescens	Paramelemorphia	Peramelidae	Long nosed echymipera	1	2	N	1062.5	3.73	1	2	1	3	1	1	1	1.833333333	3	70	1.5		596.8	0		L	1375	750	0.003510588
Glironia_venusta	Glironia venusta	Didelphimorphia	Didelphidae	Bushy-tailed opossum	3	2	Am	136.67	1.9	1	1		2	1		1									R			0.0139021
Gracilinanus_agilis	Gracilinanus agilis	Didelphimorphia	Didelphidae	Agile gracile mouse opossum	3	1	Am	18	0.58	1	1	3	2	1	1	1		12	80	0.13			1		C			0.032222222
Gracilinanus_microtarsus	Gracilinanus microtarsus	Didelphimorphia	Didelphidae	Brazilian gracile mouse opossum	3	1	Am	22.93	0.71	1	1	2	4	1	1	1		10	90	0.14	16		1		C			0.030963803
