Names	Species	Order	Family	Common Name	Regime	Origin	Status	BodyN	Brain	DiurnalityN	Arboreality	Shelter.safety	Diet	Group.living	Parental.care	Mating.system	Litter.size	Weaning.age	HR	Population.density	FMR.Riek	Torpor	Play
Acrobates_pygmaeus	Acrobates pygmaeus	Diprotodontia	Acrobatidae	Feathertail glider	0	1	1	14.5	0.35	1	1	1	3	2	2	2	2.8	97.5	2.1	9	34.9	1	1
Aepyprymnus_rufescens	Aepyprymnus rufescens	Diprotodontia	Potoroidae	Rufous bettong	3	1	1	2750	12.3	1	2	2	2	2	1	1	1	162.5	110	0.96	1378.6	0	3
Antechinomys_laniger	Antechinomys laniger	Dasyuromorphia	Dasyuridae	Kultarr	0	1	2	25	0.47	1	2	1	4	1	1	1	6	95.5				1	1
Antechinus_agilis	Antechinus agilis	Dasyuromorphia	Dasyuridae	Agile antechinus	0	1	1	24	0.56	3	1	1	4	2	1	1	9.3	95	1	8.13			
Antechinus_flavipes	Antechinus flavipes	Dasyuromorphia	Dasyuridae	Yellow footed Antechinus	0	1	1	45	0.64	3	2	2	4	2	1	1	8.4	90	0.6	1.6	105.7	1	
Antechinus_minimus	Antechinus minimus	Dasyuromorphia	Dasyuridae	Swamp antechinus	0	1	2	70	0.74	3	2	2	4	2	1	1	7.4	105	2.7	6.9	135.6		
Antechinus_stuartii	Antechinus stuartii	Dasyuromorphia	Dasyuridae	Brown antechinus	0	1	1	27.5	0.76	3	2	2	4	2	1	1	7.2	87.5	0.9	2.87	91	1	2
Antechinus_swainsonii	Antechinus swainsonii	Dasyuromorphia	Dasyuridae	Dusky antechinus	0	1	1	53	1.09	1	2	1	4	1	1	1	7.6	88		7.09	147.1	1	
Bettongia_gaimardi	Bettongia gaimardi	Diprotodontia	Potoroidae	Tasmanian bettong	3	1	1	1660	11.7	1	2	1	2	1	1	1	1	155	135	0.19	813.6	0	
Bettongia_lesueur	Bettongia lesueur	Diprotodontia	Potoroidae	Burrowing bettong	3	1	2	1300	10.5	1	2	1	2	2	1	2	1	165		0.17	476.7		
Bettongia_penicillata	Bettongia penicillata	Diprotodontia	Potoroidae	Woylie	3	1	2	1181.25	9.56	1	2	2	2	1	1	1	1	158	65.4	0.26	600.2	0	3
Bettongia_tropica	Bettongia tropica	Diprotodontia	Potoroidae	Northern bettong	3	1	2	1200	8.92	1	2	2	2	1	1	1	1	176	70	0.2			
Burramys_parvus	Burramys parvus	Diprotodontia	Burramyidae	Mountain pygmy possum	0	1	2	41.5	1	1	2	2	2	1	1	2	3.6	67	7.7	0.65	70	1	1
Caenolestes_fuliginosus	Caenolestes fuliginosus	Paucituberculata	Caenolestidae	Dusky caenolestid	0	3	3	20.34	0.77	3	2	2	4				4						
Caluromys_derbianus	Caluromys derbianus	Didelphimorphia	Didelphidae	Derbys woolly opossum	4	3	1	340	3.8	1	1	1	2	1	1	1	3.1	120	0.1	13.4		0	
Caluromys_lanatus	Caluromys lanatus	Didelphimorphia	Didelphidae	Western woolly opossum	4	3	1	356	3.53	1	1	2	3	1	1	1	2.5	220	0.25	0.13			
Caluromys_philander	Caluromys philander	Didelphimorphia	Didelphidae	Bare tailed woolly opossum	4	3	1	170	2.7	1	1	1	2	1	1	1	4.3	120	3	0.97			
Caluromysiops_irrupta	Caluromysiops irrupta	Didelphimorphia	Didelphidae	Black-shouldered opossum	0	3	2	397.03	4	1	1		3	1	1	1	2						
Cercartetus_caudatus	Cercartetus caudatus	Diprotodontia	Burramyidae	Long tailed pygmy possum	0	2	2	30	0.71	1	1	1	3	2	1		2.9	77		0.5	54.2	1	
Cercartetus_nanus	Cercartetus nanus	Diprotodontia	Burramyidae	Eastern pygmy possum	0	1	1	24	0.43	1	1	1	3	2	1	1	3.9	65	0.75	11.56	45.7	1	1
Chaeropus_ecaudatus	Chaeropus ecaudatus	Paramelemorphia	Chaeropodidae	Pig footed bandicoot	7	1	3	200	2.4	2	2	2	2	1			2						
Chironectes_minimus	Chironectes minimus	Didelphimorphia	Didelphidae	Water opossum	3	3	1	686.67	4.7	1	2	2	4	1	1	1	4	55	180	1.34		0	
Cryptonanus_chacoensis	Cryptonanus chacoensis	Didelphimorphia	Didelphidae	Chacoan mouse opossums	0	3	1	13.5	0.49	1	2	3	3		1		7						
Cryptonanus_unduaviensis	Cryptonanus unduaviensis	Didelphimorphia	Didelphidae	Unduavi gracile opossum	0	3	2	35	0.8	1	1						12						
Dactylopsila_palpator	Dactylopsila palpator	Diprotodontia	Petauridae	Long-fingered Triok	4	2	1	370	6.91	1	1		4				1						
Dactylopsila_trivirgata	Dactylopsila trivirgata	Diprotodontia	Petauridae	Striped possum	4	2	2	423	5.83	1	1	1	4	1	1	2	1.75	200	150	0.04	394		1
Dasycercus_cristicauda	Dasycercus cristicauda	Dasyuromorphia	Dasyuridae	Crest tailed mulgara	0	1	2	120	1.24	3	2	1	4	1	1	1	7	121	14.4		199.1	1	3
Dasykaluta_rosamondae	Dasykaluta rosamondae	Dasyuromorphia	Dasyuridae	Kaluta	0	1	1	27.5	0.54	3	2	2	4	1	1	1	6.3	113			86.6	1	
Dasyuroides_byrnei	Dasyuroides byrnei	Dasyuromorphia	Dasyuridae	Kowari	0	1	2	117.5	1.5	3	2	1	4	1	1	1	4.3	118	1400		197.2	1	3
Dasyurus_albopunctatus	Dasyurus albopunctatus	Dasyuromorphia	Dasyuridae	New Guinean quoll	3	2	1	627	3.79	3		2	4										
Dasyurus_geoffroii	Dasyurus geoffroii	Dasyuromorphia	Dasyuridae	Western quoll	3	1	2	1100	5.17	3	2	2	4	1	1	2	6	157.5	400	0.02	950.9	1	
Dasyurus_hallucatus	Dasyurus hallucatus	Dasyuromorphia	Dasyuridae	Northern quoll	3	1	2	597.5	3.38	1	2	2	4	1	1	1	6.6	142.5	100	0.21	652.6	0	3
Dasyurus_maculatus	Dasyurus maculatus	Dasyuromorphia	Dasyuridae	Spotted tailed quoll	3	1	2	2500	9.41	3	2	2	4	1	1	2	5.3	197	1744	0.04	1361.5	0	3
Dasyurus_viverrinus	Dasyurus viverrinus	Dasyuromorphia	Dasyuridae	Eastern quoll	3	1	2	1100	5.33	3	2	2	4	1	1	1	6	159	44	0.19	935.7	1	3
Dendrolagus_bennettianus	Dendrolagus bennettianus	Diprotodontia	Macropodidae	Bennett's tree kangaroo	8	1	2	10525	26	3	1	2	1	1	1	2	1	720	29	0.28	2074.5	0	
Dendrolagus_dorianus	Dendrolagus dorianusx	Diprotodontia	Macropodidae	Doria's tree-kangaroo	8	2	2	10500	32.3	3	2	1	2	2	2	2	1	720					3
Dendrolagus_goodfellowi	Dendrolagus goodfellowix	Diprotodontia	Macropodidae	Goodfellow's tree-kangaroo	8	2	2	8050	28.4	3	1		2	2		2	1	390				0	
Dendrolagus_inustus	Dendrolagus inustusx	Diprotodontia	Macropodidae	Grizzled tree-kangaroo	8	2	2	11500	30.1	3	1	2	2				1	279					
Dendrolagus_lumholtzi	Dendrolagus lumholtzi	Diprotodontia	Macropodidae	Lumholtzs tree kangaroo	8	2	2	7025	26.2	3	1	2	2	2	1	2	1	550	2.1	1.28	1636.8	0	3
Dendrolagus_matschiei	Dendrolagus matschiei	Diprotodontia	Macropodidae	Matschie's tree-kangaroo	8	2	2	8800	27.5	3	1		2	2	2	2	1	290	25			0	
Dendrolagus_scottae	Dendrolagus scottae	Diprotodontia	Macropodidae	Tenkile	8	2	2	9500	29.2	3	1		1	2	2	2	1	900	0.125			0	
Dendrolagus_spadix	Dendrolagus spadix	Diprotodontia	Macropodidae	Lowlands tree-kangaroo	8	2	2	9100	28.5	3	1		2				1						
