"","Qmbar","SE","WaldT","df","p","lowerCI","upperCI"
"(Intercept)",0.0923855873544379,0.0249176999745204,3.70762901266596,90.8244445665301,0.000359622170521767,0.0509772490731914,0.133793925635684
"BodyN",0.852945700524716,0.0593695233537069,14.3667264337479,90.8244445665301,0,0.754285177718017,0.951606223331415
"FMR.Riek",-0.00132348706173117,0.0549339227216687,-0.0240923457885362,90.8244445665301,0.980831802478555,-0.092612910142542,0.0899659360190797
"regime1",0.0500193715739646,0.0232729525548347,2.1492490673932,90.8244445665301,0.0342734830681901,0.0113442814501001,0.0886944616978291
"regime2",-0.007689424540811,0.0167997160734603,-0.457711577218768,90.8244445665301,0.648252775763875,-0.0356072631418886,0.0202284140602666
"regime3",-0.000259982558609549,0.0127423323730494,-0.0204030589532748,90.8244445665301,0.983766600202995,-0.0214352439163931,0.020915278799174
"regime4",0.0283272637645726,0.0164787064865203,1.71902229023525,90.8244445665301,0.089016949486282,0.000942880240854801,0.0557116472882905
"regime5",0.0231249125136549,0.0187056242016312,1.23625452240393,90.8244445665301,0.219551541610513,-0.00796017220504098,0.0542099972323509
"regime6",-0.00532759390122526,0.0166076887642102,-0.32079080821326,90.8244445665301,0.749105872760893,-0.0329263207147464,0.0222711329122958
"regime7",0.00719697410932553,0.0161131416849121,0.446652443704666,90.8244445665301,0.656189217188019,-0.0195799122945062,0.0339738605131573
"regime8",-0.00301321542940182,0.0155230769932172,-0.194111994079424,90.8244445665301,0.846521689691169,-0.0288095298548203,0.0227830989960166
"regime9",-0.00930346726895233,0.0216904614696209,-0.42891974806449,90.8244445665301,0.668997272967575,-0.0453487670730604,0.0267418325351557
