"","Qmbar","SE","WaldT","df","p","lowerCI","upperCI"
"(Intercept)",0.0694999722843817,0.0324553683034528,2.14140143579846,160.979637232813,0.0337462591067967,0.0158066460856195,0.123193298483144
"BodyN",0.849975376445649,0.0284480431650767,29.8781667165457,160.979637232813,0,0.80291166584168,0.897039087049618
"Origin2",0.020408826152858,0.006732745509058,3.0312784176085,160.979637232813,0.00283862810148983,0.00927034522572452,0.0315473070799916
"Origin3",0.0410179537974407,0.0379330446592424,1.08132511286427,160.979637232813,0.281169738013199,-0.02173749921599,0.103773406810871
"regime1",0.0595785526746931,0.0229435892314829,2.5967407310858,160.979637232813,0.0102827420673914,0.0216212690210869,0.0975358363282994
"regime2",-0.00102539602913291,0.0165593897897775,-0.0619223318099506,160.979637232813,0.950701498231303,-0.0284208244008513,0.0263700323425854
"regime3",0.00258557772157756,0.0125451032014608,0.20610254695047,160.979637232813,0.836971235736353,-0.0181687182116937,0.0233398736548488
"regime4",0.0224880500972498,0.0162313635433082,1.385468943336,160.979637232813,0.167825740647666,-0.00436470009288843,0.049340800287388
"regime5",0.0278247035026489,0.0183842368253206,1.51350876117555,160.979637232813,0.132111317655266,-0.00258970484878012,0.0582391118540779
"regime6",-0.00178975130473467,0.0163613547470395,-0.109388943177735,160.979637232813,0.913030244040702,-0.0288575555974686,0.0252780529879993
"regime7",0.0116854472084614,0.0156634288323107,0.746033792061958,160.979637232813,0.456735029351864,-0.0142277264095648,0.0375986208264876
"regime8",-0.00563511736800057,0.0152343189531353,-0.369896244481664,160.979637232813,0.711945974310134,-0.0308383826435222,0.0195681479075211
"regime9",-0.0106225205809425,0.0211380883670777,-0.502529859676757,160.979637232813,0.615981610861195,-0.0455928300625644,0.0243477889006794
