"","Qmbar","SE","WaldT","df","p","lowerCI","upperCI"
"(Intercept)",0.0884033433430352,0.0252765486707625,3.49744518108565,84.0055086469907,0.000753443628748185,0.0463635022788478,0.130443184407222
"BodyN",0.852266904064689,0.0293215083629512,29.0662708587515,84.0055086469907,0,0.803499504393287,0.901034303736091
"Play2",0.00832053050722163,0.0121918442142973,0.68246693125099,84.0055086469907,0.496821373261342,-0.0119568894730328,0.028597950487476
"Play3",0.00741070112426684,0.0112395874554374,0.659339246538071,84.0055086469907,0.511481399316073,-0.0112829297352412,0.0261043319837748
"regime1",0.0475802897312438,0.0233637882442411,2.03649721671193,84.0055086469907,0.0448500628444712,0.00872174312984994,0.0864388363326376
"regime2",-0.00985610939284245,0.0167941345791437,-0.586878076175627,84.0055086469907,0.558859534234843,-0.0377880378263487,0.0180758190406638
"regime3",-0.00177824057107554,0.0127991419846498,-0.138934357725558,84.0055086469907,0.889834549107885,-0.0230657154475423,0.0195092343053912
"regime4",0.0276947531714459,0.016442728068214,1.6843161947672,84.0055086469907,0.0958328235040093,0.000347282452512726,0.0550422238903791
"regime5",0.0207132310026149,0.0189632298744188,1.09228391681086,84.0055086469907,0.277830992423753,-0.0108263268843507,0.0522527888895805
"regime6",-0.00724164308612842,0.0170551940955764,-0.42460044990087,84.0055086469907,0.672213470551996,-0.0356077645228836,0.0211244783506267
"regime7",0.00764263778794215,0.0161873187236502,0.472137351368514,84.0055086469907,0.638052925625434,-0.0192800372679586,0.0345653128438429
"regime8",-0.0033840851254004,0.0156354770204747,-0.216436321128478,84.0055086469907,0.829172384862948,-0.0293889395644017,0.0226207693136009
"regime9",-0.0122662814194423,0.0216374768404312,-0.566899805827724,84.0055086469907,0.572293930703125,-0.0482536347266579,0.0237210718877733
