"","Qmbar","SE","WaldT","df","p","lowerCI","upperCI"
"(Intercept)",0.0909885339034323,0.0278060248520107,3.27225967709127,102.357184822514,0.00145509305163838,0.0448339560016664,0.137143111805198
"BodyN",0.853483118111747,0.0330470861258345,25.8262745121283,102.357184822514,0,0.798629023751298,0.908337212472196
"Torpor1",0.00170630367126909,0.0113525268982778,0.150301662930034,102.357184822514,0.880822406208734,-0.0171374933078797,0.0205501006504179
"regime1",0.049511159116866,0.0232426640978507,2.13018434153787,102.357184822514,0.0355528703614172,0.010931198246578,0.088091119987154
"regime2",-0.00850839625630534,0.0168159870998918,-0.505970669801482,102.357184822514,0.613965223102533,-0.0364208645335148,0.0194040720209041
"regime3",-0.000239666192366953,0.0127945043306236,-0.0187319638317925,102.357184822514,0.985091394921998,-0.0214769681794413,0.0209976357947074
"regime4",0.0288097022562514,0.0164736128071414,1.74883934650706,102.357184822514,0.0833165832702725,0.00146553315342641,0.0561538713590765
"regime5",0.0230605910713246,0.0187313818405012,1.2311206545084,102.357184822514,0.221099052104264,-0.00803119666052082,0.05415237880317
"regime6",-0.00596272062952878,0.0166420319548041,-0.358292824200924,102.357184822514,0.720862062808057,-0.0335864447824668,0.0216610035234092
"regime7",0.00747442576977417,0.0161771038842827,0.46203732282613,102.357184822514,0.645035115236293,-0.0193775750259489,0.0343264265654972
"regime8",-0.00234576329547726,0.0156315035745673,-0.150066388961703,102.357184822514,0.881007549554838,-0.028292134748926,0.0236006081579715
"regime9",-0.0107648207867056,0.0214859072935237,-0.501017743381511,102.357184822514,0.617434377174676,-0.046428781645798,0.0248991400723868
