"","Qmbar","SE","WaldT","df","p","lowerCI","upperCI"
"(Intercept)",0.0887370602571103,0.0249542839454667,3.55598503451471,158.320784664312,0.00049688659764735,0.0474493214984982,0.130024799015723
"BodyN",0.851183753096183,0.0289645067901175,29.3871309207516,158.320784664312,0,0.803260959870146,0.89910654632222
"Status2",0.000685274126066958,0.00521599353870173,0.13137940470638,158.320784664312,0.895641983054358,-0.00794477028086335,0.00931531853299727
"Status3",0.0380803262004849,0.0250593976121629,1.51960261734313,158.320784664312,0.130605406631237,-0.00338132680948361,0.0795419792104535
"regime1",0.0512712379611315,0.0232893474414613,2.20148881758082,158.320784664312,0.0291482479710177,0.0127381950927029,0.0898042808295601
"regime2",-0.00983766177940195,0.0167568577629219,-0.587082728670639,158.320784664312,0.557984420654608,-0.0375624711645426,0.0178871476057387
"regime3",-0.000952434653417292,0.0127251772962017,-0.0748464741392311,158.320784664312,0.940431352361284,-0.0220066871821918,0.0201018178753572
"regime4",0.0289831558557092,0.0163568593043018,1.7719267077199,158.320784664312,0.0783302865941919,0.00192015796151107,0.0560461537499073
"regime5",0.019573343489965,0.0188687094266654,1.03734405185676,158.320784664312,0.301157293864757,-0.0116455986052198,0.0507922855851497
"regime6",-0.0064232447542365,0.0167257369127274,-0.384033587742777,158.320784664312,0.701468832749286,-0.0340965636002944,0.0212500740918214
"regime7",0.00626524548716919,0.016032009136267,0.390796027741537,158.320784664312,0.696473378321619,-0.020260276400792,0.0327907673751304
"regime8",-0.00413443078295128,0.015501770104076,-0.266707011856936,158.320784664312,0.790041818388804,-0.0297826535791587,0.0215137920132561
"regime9",-0.0104334670801325,0.0213835561118727,-0.487920111395296,158.320784664312,0.626281449398629,-0.0458133112947172,0.0249463771344522
