"","Qmbar","SE","WaldT","df","p","lowerCI","upperCI"
"(Intercept)",0.0924518541713417,0.0247637987216475,3.73334702040379,162.990140294909,0.000260749320206477,0.0514861876672233,0.13341752067546
"BodyN:regime0",0.863028151204479,0.0308271860327682,27.9956837541743,162.990140294909,0,0.812032088909122,0.914024213499835
"BodyN:regime1",0.91740212439752,0.0494153257162823,18.5651336118834,162.990140294909,0,0.835656517584943,0.999147731210098
"BodyN:regime2",0.841979888760951,0.0288925128131829,29.1418020372662,162.990140294909,0,0.79418427155073,0.889775505971172
"BodyN:regime3",0.851034072012362,0.0269686192239033,31.5564569675135,162.990140294909,0,0.806421067617474,0.89564707640725
"BodyN:regime4",0.910303940727252,0.0429386297891157,21.2001161936937,162.990140294909,0,0.839272448028716,0.981335433425788
"BodyN:regime5",0.878391349587865,0.0249230074917474,35.2441955441662,162.990140294909,0,0.837162310995572,0.919620388180157
"BodyN:regime6",0.850116963660027,0.0323422296105783,26.2850450910774,162.990140294909,0,0.79661463119807,0.903619296121984
"BodyN:regime7",0.844559637635145,0.0364273895507468,23.1847422516674,162.990140294909,0,0.784299404190143,0.904819871080146
"BodyN:regime8",0.852756694247893,0.0281110779463428,30.33525416121,162.990140294909,0,0.806253770477377,0.899259618018408
"BodyN:regime9",0.824710392425872,0.0658556902507926,12.5229936742778,162.990140294909,0,0.715768211360001,0.933652573491743
