"","Qmbar","SE","WaldT","df","p","lowerCI","upperCI"
"Intercept",-2.1253471666389,0.194698145787081,-10.9161140597772,39.7518164786885,1.57651669496772e-13,-2.45323836456057,-1.79745596871723
"Diurnal",0.0365614798432077,0.0813552262595709,0.449405422665228,39.7518164786885,0.65558006696041,-0.100448877844591,0.173571837531007
"Crepuscular",-0.0483688060075367,0.0377072672242394,-1.28274493401749,39.7518164786885,0.207010706603991,-0.111871624539919,0.0151340125248458
"Shelter Safety - intermediate",0.035375241512796,0.0409066038209586,0.864780700632778,39.7518164786885,0.392347957969539,-0.0335155806136222,0.104266063639214
"Shelter Safety - open",0.0465186964253799,0.0657497557961867,0.707511318666797,39.7518164786885,0.483376373624508,-0.0642104843992039,0.157247877249964
"Terrestrial",-0.0480242377012056,0.044339602584529,-1.08310031894517,39.7518164786885,0.285290057176508,-0.122696573937582,0.0266480985351709
"Diet - 2",0.053073532879306,0.0640480279334465,0.828652100490209,39.7518164786885,0.412249244660153,-0.0547897676093614,0.160936833367973
"Diet - 3",-0.0692863394346044,0.0657455541654906,-1.05385588902637,39.7518164786885,0.298312567413703,-0.180008444291841,0.0414357654226322
"Diet - 4",-0.0297360949551754,0.0772697300690581,-0.384834979086888,39.7518164786885,0.702411017535947,-0.15986606744672,0.100393877536369
"Home Range",0.00794544666745399,0.00903441952753287,0.879463992483393,39.7518164786885,0.384435439695696,-0.00726942160689112,0.0231603149417991
"Body Size",0.568587616791295,0.0177140518727028,32.0981117633219,39.7518164786885,0,0.538755377428631,0.598419856153959
