"","Qmbar","SE","WaldT","df","p","lowerCI","upperCI"
"(Intercept)",0.0855569428419439,0.0248296001937931,3.4457640144899,152.935411934723,0.000735292089244055,0.0444669811399486,0.126646904543939
"BodyN",0.837521850891575,0.0456289873056952,18.3550392052431,152.935411934723,0,0.762011438872918,0.913032262910232
"FMR.Riek",0.0358807627124195,0.0408736625639565,0.877845548004795,152.935411934723,0.381404535178987,-0.0317601665117687,0.103521691936608
"regime1",0.232861348457933,0.104722802798585,2.22359736595093,152.935411934723,0.0276413146791459,0.0595578750739699,0.406164821841895
"regime2",0.186311722639162,0.121614293586107,1.53198869265517,152.935411934723,0.127591187271171,-0.0149451089999365,0.387568554278261
"regime3",0.0285770038668009,0.0472823355215711,0.604390700069448,152.935411934723,0.546479496244983,-0.0496694979132766,0.106823505646878
"regime4",0.0209876516439394,0.0414550471967735,0.506274942694382,152.935411934723,0.613392696093646,-0.0476153982793389,0.0895907015672177
"regime5",0.137978270488861,0.110843963043091,1.24479734124286,152.935411934723,0.215110368039425,-0.045454976957327,0.321411517935049
"regime6",-0.0675632587638563,0.0887625901099088,-0.761168175468936,152.935411934723,0.447728690533296,-0.214454525627581,0.0793280080998684
"regime7",-0.00528881509565984,0.0538907354091378,-0.0981395977528832,152.935411934723,0.921949951989306,-0.0944714131548656,0.083893782963546
"regime8",0.0281337994552144,0.07374946109559,0.381478034378434,152.935411934723,0.703378040076247,-0.0939125689240117,0.150180167834441
"regime9",-0.0536990516539973,0.0736786051114572,-0.728828288385267,152.935411934723,0.467221315118997,-0.175628162016516,0.0682300587085209
"FMR.Riek:regime1",-0.385713879016567,0.213925481846019,-1.80302914682318,152.935411934723,0.073352376837863,-0.739734474899185,-0.0316932831339484
"FMR.Riek:regime2",-0.272591867918821,0.167268936115363,-1.62966223286563,152.935411934723,0.105230875128519,-0.54940156784431,0.00421783200666853
"FMR.Riek:regime3",-0.05462859288745,0.075223990502641,-0.726212376163852,152.935411934723,0.468818548932393,-0.179115127696716,0.0698579419218156
"FMR.Riek:regime4",0.0168001474082679,0.0893040763177318,0.188122962590143,152.935411934723,0.851029643418693,-0.130987213124624,0.16458750794116
"FMR.Riek:regime5",-0.133897484192663,0.122450483498686,-1.0934826908552,152.935411934723,0.275901281170673,-0.336538108209219,0.068743139823892
"FMR.Riek:regime6",0.0856093066295737,0.125239217453851,0.683566285146422,152.935411934723,0.495283423528956,-0.121646332148412,0.292864945407559
"FMR.Riek:regime7",0.00960708945866297,0.0947282453586634,0.101417369468718,152.935411934723,0.919351990450593,-0.147156609654692,0.166370788572018
"FMR.Riek:regime8",-0.0428303415004936,0.0935458423803222,-0.457854036167225,152.935411934723,0.647707148953517,-0.197637307814401,0.111976624813414
"FMR.Riek:regime9",0.138321826043427,0.226866989712738,0.609704506674032,152.935411934723,0.542962361733327,-0.23711538784589,0.513759039932745
