"","Qmbar","SE","WaldT","df","p","lowerCI","upperCI"
"(Intercept)",0.0662312053052922,0.0336600681554277,1.96764917407372,153.962833942645,0.0509050974841154,0.010530160888331,0.121932249722253
"BodyN",0.852922240925197,0.0291161077876645,29.2938275660097,153.962833942645,0,0.804740591213706,0.901103890636688
"Origin2",0.0277904290528759,0.0108494363762823,2.56146292664823,153.962833942645,0.011383903338676,0.00983666452976843,0.0457441935759833
"Origin3",0.0446715169212436,0.0399347160434269,1.1186136110913,153.962833942645,0.265047268963389,-0.0214128826064791,0.110755916448966
"regime1",0.0614931140251108,0.0244402614912528,2.51605794181536,153.962833942645,0.0128924080039563,0.0210491052785955,0.101937122771626
"regime2",-0.000397915433561724,0.017094212244489,-0.0232777871170991,153.962833942645,0.981458831925078,-0.0286856025263671,0.0278897716592437
"regime3",0.00372894581216166,0.0155278138350519,0.240146220953788,153.962833942645,0.810536348513634,-0.0219666482707358,0.0294245398950591
"regime4",0.0488312592879421,0.0311709043819613,1.56656536780501,153.962833942645,0.119269340268104,-0.00275069002598133,0.100413208601865
"regime5",0.0289512303300651,0.0187394362076309,1.54493603805838,153.962833942645,0.12441471035282,-0.00205899115048012,0.0599614518106103
"regime6",0.000761982711036546,0.0170291663342788,0.0447457436306036,153.962833942645,0.964367954117821,-0.0274180657068551,0.0289420311289282
"regime7",0.0084434380951571,0.0201497993301376,0.419033358934172,153.962833942645,0.67577577485219,-0.0249006675168177,0.0417875437071319
"regime8",0.00530424978802906,0.0174532696314302,0.30391152489142,153.962833942645,0.761605633933465,-0.0235776093476225,0.0341861089236806
"regime9",-0.0115896305457856,0.0218091936500303,-0.531410318591468,153.962833942645,0.595900321517192,-0.0476797198049352,0.024500458713364
"Origin2:regime3",-0.0033098762586442,0.0197093603286467,-0.167934230408961,153.962833942645,0.866855412251422,-0.0359251386528417,0.0293053861355533
"Origin3:regime3",-0.0112940626209213,0.0332951921561425,-0.339210014705912,153.962833942645,0.734913755047346,-0.0663913062924705,0.043803181050628
"Origin2:regime4",-0.0333699310627758,0.0317948553256276,-1.04953869803831,153.962833942645,0.295574914531273,-0.0859844011388878,0.0192445390133362
"Origin3:regime4",-0.0354132057246951,0.0399331434922146,-0.886812372574659,153.962833942645,0.376563059812727,-0.101495002977683,0.0306685915282929
"Origin2:regime6",-0.0173749869606257,0.0252930087031853,-0.68694820630167,153.962833942645,0.493148759548727,-0.0592301310057673,0.024480157084516
"Origin2:regime7",0.00753540393868289,0.0220445423058679,0.341826282175842,153.962833942645,0.7329477523243,-0.0289441428186438,0.0440149506960096
"Origin2:regime8",-0.0292119318438,0.0201544195964368,-1.44940575956673,153.962833942645,0.14925813469558,-0.0625636831223599,0.00413981943475988
