"","Qmbar","SE","WaldT","df","p","lowerCI","upperCI"
"(Intercept)",0.0870675112151022,0.0251688934466526,3.45933012111353,154.970776433024,0.000699526995033395,0.0454193942638899,0.128715628166314
"BodyN",0.865859690930047,0.0310565514253449,27.8800977955147,154.970776433024,0,0.814468997548724,0.91725038431137
"Torpor1",0.00554133960480658,0.00877731518205153,0.631325125037995,154.970776433024,0.528758048296686,-0.00898288451313343,0.0200655637227466
"regime1",0.0239435798872668,0.0273571951707046,0.875220567673791,154.970776433024,0.38280837095606,-0.0213256198231472,0.0692127795976808
"regime2",-0.0247181466521513,0.0215420748467437,-1.14743574275009,154.970776433024,0.252969903603533,-0.0603648013010976,0.0109285079967949
"regime3",0.00575424491657468,0.0134780918666895,0.426933201931652,154.970776433024,0.670020521554058,-0.0165485689728346,0.028057058805984
"regime4",0.0223747107431228,0.017298271440547,1.29346511991231,154.970776433024,0.197774898824591,-0.0062495286791127,0.0509989501653584
"regime5",0.0228280832118117,0.0182414660589488,1.25143906405554,154.970776433024,0.212660100820317,-0.00735690340251681,0.0530130698261402
"regime6",-0.00438041580179366,0.016905764177091,-0.259107825940785,154.970776433024,0.795895906320462,-0.0323551555371532,0.0235943239335659
"regime7",-0.0361441467480649,0.0208192686502566,-1.73609108731201,154.970776433024,0.084535195604772,-0.0705947409874361,-0.00169355250869373
"regime8",0.000841870259300588,0.0152923206300136,0.0550518315479394,154.970776433024,0.956168080224309,-0.0244630307846883,0.0261467713032895
"regime9",-0.00767248850566131,0.0246626647630886,-0.311097303530004,154.970776433024,0.756144722348515,-0.0484829257447393,0.0331379487334167
"Torpor1:regime1",0.00332581671086276,0.0510137422225685,0.0651945253565698,154.970776433024,0.948103144533698,-0.0810889513323903,0.0877405847541158
"Torpor1:regime2",0.0281065097275559,0.0264400430889163,1.0630281362642,154.970776433024,0.289422865410858,-0.0156450365649464,0.0718580560200582
"Torpor1:regime3",-0.0198348691534687,0.0218563827211496,-0.907509234557611,154.970776433024,0.365546577530306,-0.056001623390412,0.0163318850834746
"Torpor1:regime4",0.028350470681332,0.0183175991030064,1.54771760872739,154.970776433024,0.123730031606141,-0.00196049675648738,0.0586614381191515
"Torpor1:regime6",-0.00153137176630294,0.0207465537819094,-0.073813308099308,154.970776433024,0.941254126648417,-0.0358616413935716,0.0327988978609658
"Torpor1:regime7",0.07191533085149,0.0238064352483793,3.02083575727222,154.970776433024,0.00294949584545878,0.0325217356774506,0.111308926025529
"Torpor1:regime9",-0.00834338706257363,0.0275461430239194,-0.302887669439919,154.970776433024,0.762381660628116,-0.0539252474112096,0.0372384732860623
