"","Qmbar","SE","WaldT","df","p","lowerCI","upperCI"
"(Intercept)",0.091355535221766,0.0257522195565728,3.54748199552567,150.96886960312,0.000518522164306034,0.0487353673823069,0.133975703061225
"BodyN",0.850473066227648,0.0301745479791518,28.1851137195247,150.96886960312,0,0.800533902866367,0.900412229588929
"Status2",-0.00304103242380935,0.00749624360048883,-0.405674173076638,150.96886960312,0.685556383109987,-0.0154473867466452,0.00936532189902652
"Status3",0.026165522532217,0.0446013471399745,0.586653188974326,150.96886960312,0.558312856921442,-0.0476501303980377,0.0999811754624716
"regime1",0.0302721373097689,0.0330115855913475,0.917015549768181,150.96886960312,0.360597086368342,-0.0243623502325214,0.0849066248520593
"regime2",-0.0300219671505846,0.0294114597715986,-1.02075746609407,150.96886960312,0.30900231350902,-0.078698212284146,0.0186542779829769
"regime3",-0.00438203587090711,0.0155738544131843,-0.281371313398014,150.96886960312,0.778810906671411,-0.0301569127718693,0.021392841030055
"regime4",0.0191384280088566,0.0195240979925178,0.980246463431548,150.96886960312,0.328532725647683,-0.0131741395167171,0.0514509955344302
"regime5",0.010518753334144,0.0207778633570985,0.506248075336888,150.96886960312,0.613420996345428,-0.023868807772171,0.044906314440459
"regime6",-0.00378851134668658,0.017620972772105,-0.215000124890041,150.96886960312,0.83005738547964,-0.0329513885655541,0.025374365872181
"regime7",0.00883530038649935,0.0179832498343496,0.491307214651666,150.96886960312,0.623922674207627,-0.020927148809585,0.0385977495825837
"regime8",-0.0162321416350819,0.0193567482013652,-0.838577919504945,150.96886960312,0.403031992444058,-0.0482677436675976,0.0158034603974338
"regime9",-0.0111944688647961,0.0220849691194516,-0.506881798396378,150.96886960312,0.61297730885138,-0.0477453024165417,0.0253563646869494
"Status2:regime1",0.0300344673329615,0.030721946313058,0.977622544708235,150.96886960312,0.329825015505535,-0.0208106454675461,0.0808795801334692
"Status2:regime2",0.0239972935211234,0.0279252628730707,0.859339932812768,150.96886960312,0.391515462436705,-0.0222192816364737,0.0702138686787205
"Status2:regime3",0.00608307721866607,0.0144424943419376,0.42119297917966,150.96886960312,0.67421321261634,-0.0178193880240517,0.0299855424613839
"Status2:regime4",0.0180981840194251,0.0197629834309205,0.915761736211815,150.96886960312,0.361252327676487,-0.0146097411745141,0.0508061092133642
"Status2:regime5",0.018575659231267,0.0243920720382665,0.7615449479702,150.96886960312,0.447519633692205,-0.0217934515531181,0.0589447700156522
"Status3:regime5",0.0497165404471877,0.0671417085985413,0.74047177953806,150.96886960312,0.460163845604014,-0.0614036246792204,0.160836705573596
"Status2:regime6",-0.0237813379024612,0.0217903417085028,-1.09137058154446,150.96886960312,0.276848557744528,-0.0598445602921025,0.0122818844871801
"Status2:regime7",-0.00409544086228244,0.0199316845332704,-0.20547389536726,150.96886960312,0.837478691987652,-0.0370825679821394,0.0288916862575746
"Status3:regime7",-0.00327932091737024,0.0607225831071381,-0.0540049640441721,150.96886960312,0.957002608655342,-0.103775772416876,0.0972171305821351
"Status2:regime8",0.0187810364341404,0.0189197633867406,0.992667616937674,150.96886960312,0.322460327160881,-0.0125313515817472,0.050093424450028
