Origin	Species	Body
1	Acrobates_pygmaeus	12
1	Aepyprymnus_rufescens	3250
1	Ailurops_ursinus	10000
1	Antechinomys_laniger	25.57
1	Antechinus_agilis	22.13
1	Antechinus_bellus	44.5
1	Antechinus_flavipes	45
1	Antechinus_godmani	76.5
1	Antechinus_leo	74
1	Antechinus_minimus	53.5
1	Antechinus_stuartii	27.5
1	Antechinus_swainsonii	53
1	Bettongia_lesueur	1500
1	Bettongia_pencillata	1300
1	Burramys_parvus	41.5
3	Caenolestes_fuliginosus	27.8
3	Caluromys_lanatus	325
3	Caluromys_philander	229.25
3	Caluromysiops_irrupta	250
1	Cercartetus_concinnus	13
1	Cercartetus_lepidus	7
1	Cercartetus_nanus	24
3	Chironectes_minimus	946
3	Cryptonanus_chacoensis	12.584
1	Dactylopsila_palpator	398
1	Dactylopsila_trivirgata	413.53
1	Dasycercus_cristicauda	100
1	Dasykaluta_rosamondae	28.75
1	Dasyuroides_byrnei	109.47
1	Dasyurus_albopunctatus	637
1	Dasyurus_geoffroii	1100
1	Dasyurus_hallucatus	525
1	Dasyurus_maculatus	5500
1	Dasyurus_spartacus	885.67
1	Dasyurus_viverrinus	1090
1	Dendrolagus_dorianus	9581
1	Dendrolagus_goodfellowi	8025
1	Dendrolagus_lumholtzi	6750
1	Dendrolagus_matschiei	6960
3	Didelphis_albiventris	752.778
3	Didelphis_marsupialis	1091.16
3	Didelphis_virginiana	2195.48
1	Distoechurus_pennatus	44.1
1	Dorcopsulus_vanheurni	1785.75
1	Echymipera_clara	1236.5
1	Echymipera_kalubu	782.17
1	Echymipera_rufescens	1100
3	Glironia_venusta	114
3	Gracilinanus_aceramarcae	20.5
3	Gracilinanus_agilis	22
3	Gracilinanus_emiliae	7.6
3	Gracilinanus_microtarsus	31
1	Gymnobelideus_leadbeateri	127
1	Hemibelideus_lemuroides	952.5
3	Hyladelphys_kalinowskii	16.75
1	Hypsiprymnodon_moschatus	520
1	Isoodon_auratus	425
1	Isoodon_macrourus	1600
1	Isoodon_obesulus	775
1	Lagorchestes_conspicillatus	3050
1	Lagorchestes_hirsutus	1265
1	Lagostrophus_fasciatus	1700
1	Lasiorhinus_latifrons	25500
3	Lestodelphys_halli	76
3	Lutreolina_crassicaudata	537.3
1	Macropus_agilis	15000
1	Macropus_antilopinus	27250
1	Macropus_eugenii	6500
1	Macropus_fuliginosus	22000
1	Macropus_giganteus	25875
1	Macropus_irma	8000
1	Macropus_parma	4500
1	Macropus_parryi	13500
1	Macropus_robustus	21262.5
1	Macropus_rufogriseus	16850
1	Macropus_rufus	46250
1	Macrotis_lagotis	1350
3	Marmosa_lepida	14
3	Marmosa_mexicana	49.45
3	Marmosa_murina	26
3	Marmosa_robinsoni	56.67
3	Marmosa_rubra	63
3	Marmosops_impavidus	40.5
3	Marmosops_incanus	62.3
3	Marmosops_noctivagus	21
3	Marmosops_parvidens	15
3	Marmosops_pinheiroi	31.57
3	Metachirus_nudicaudatus	375
3	Micoureus_demerarae	75.75
3	Micoureus_paraguayana	112.43
3	Micoureus_regina	118.6
1	Micromurexia_habbema	46.97
1	Microperoryctes_longicauda	538
1	Microperoryctes_papuensis	158
3	Monodelphis_brevicaudata	69.63
3	Monodelphis_domestica	71.4
3	Monodelphis_emiliae	40
3	Monodelphis_theresa	112
1	Murexechinus_melanurus	38.02
1	Murexia_longicaudata	335.83
1	Myoictis_melas	200
1	Myrmecobius_fasciatus	471.5
1	Neophascogale_lorentzii	212
1	Ningaui_ridei	8.5
1	Notoryctes_caurinus	34
1	Notoryctes_typhlops	55
1	Onychogalea_fraenata	5500
1	Onychogalea_unguifera	6650
1	Paramurexia_rothschildi	53.77
1	Parantechinus_apicalis	68.75
1	Perameles_bougainville	226
1	Perameles_gunnii	870
1	Perameles_nasuta	975
1	Peroryctes_broadbenti	4800
1	Peroryctes_raffrayana	838.5
1	Petauroides_volans	1300
1	Petaurus_abidi	278
1	Petaurus_breviceps	106.28
1	Petaurus_norfolcensis	230
1	Petrogale_assimilis	4500
1	Petrogale_brachyotis	4050
1	Petrogale_burbidgei	1258
1	Petrogale_concinna	1400
1	Petrogale_herberti	4123.14
1	Petrogale_inornata	4600
1	Petrogale_lateralis	4625
1	Petrogale_pencillata	7100
1	Petrogale_persephone	6200
1	Petrogale_purpureicollis	5850
1	Petrogale_rothschildi	3400
1	Petrogale_xanthopus	8500
1	Petropseudes_dahli	1640
1	Phalanger_gymnotis	2597.89
1	Phalanger_vestitus	1850
1	Phascogale_calura	51.5
1	Phascogale_tapoatafa	193.5
1	Phascolarctos_cinereus	10250
1	Phascolosorex_dorsalis	138.5
1	Phascomurexia_naso	52.62
3	Philander_frenatus	395.45
3	Philander_mcilhennyi	325
3	Philander_opossum	585.5
1	Planigale_maculata	11
1	Potorous_gilbertii	1569.46
1	Potorous_longipes	1900
1	Potorous_tridactylus	1100
1	Pseudantechinus_bilarni	23.05
1	Pseudantechinus_macdonnellensis	32.5
1	Pseudantechinus_mimulus	16.5
1	Pseudantechinus_ningbing	20
1	Pseudantechinus_woolleyae	40
1	Pseudocheirus_peregrinus	900
1	Pseudochirops_albertisii	784.85
1	Pseudochirops_archeri	1091.5
1	Pseudochirops_corinnae	1123
1	Pseudochirops_cupreus	1724.5
1	Pseudochirulus_canescens	300
1	Pseudochirulus_caroli	456.02
1	Pseudochirulus_forbesi	639.16
1	Pseudochirulus_herbertensis	1098.34
1	Pseudochirulus_mayeri	151.75
3	Rhyncholestes_raphanurus	21
1	Sarcophilus_harrisii	10000
1	Setonix_brachyurus	3250
1	Sminthopsis_crassicaudata	15
1	Sminthopsis_dolichura	13.6
1	Sminthopsis_douglasi	55
1	Sminthopsis_psammophila	33.5
1	Spilocuscus_maculatus	5106.75
1	Spilocuscus_rufoniger	6000
1	Strigocuscus_celebensis	500
1	Strigocuscus_pelengensis	500
1	Tarsipes_rostratus	9
3	Thylamys_macrura	34.43
3	Thylamys_pallidior	14.9
3	Thylamys_pusillus	28.21
3	Thylamys_venustus	24.41
1	Thylogale_browni	5478
1	Thylogale_brunii	3620
1	Thylogale_stigmatica	4600
1	Thylogale_thetis	5400
3	Tlacuatzin_canescens	47.73
1	Trichosurus_caninus	3500
1	Trichosurus_johnstonii	2293.08
1	Trichosurus_vulpecula	2650
1	Vombatus_ursinus	26000
1	Wallabia_bicolor	15000
1	Wyulda_squamicaudata	1675
